id,comment_text,toxic,obscene
5d862ea3d572b187,"Why is your dick so small? 

Is it because you are Asian?",1,1
d14c200b969962e5,"I tried living off Guiness for a few weeks, I almost shit my internal organs out and had to spend a month in hospital 217.72.91.120",1,1
cdf726a6317c2bb8,"""

 Stop it 
Johnspring and 37.17.252.233 stop it both of you. Your constant reversions aren't going to help any readers interesting in this article. Johnspring, see WP:OWN. Comments such as If you think our team is going to let you continue like this you better think again, is clearly presenting ownership behavior, and is leading to disruptive behavior such as edit wars.   Who, me?  """,0,0
1bf31449a68fa236,pure bullshit. The Dissident Aggressor,1,1
1e7f3414d01d1b3a,"""== Bhagavad Gita Talk page ==

Hello! Welcome to Wikipedia!

I noticed that you posted on the Bhagavad Gita Talk page. However, your discussion was not about how to improve the article, so I removed it. Please note the text at the top of the Talk page that says, """"This is not a forum for general discussion of the article's subject.""""

If you have any questions or comments, feel free to contact me on my Talk page.

Cheers,

  """,0,0
f5379a104a9276a2,"Umm, maybe you should block AOL proxies permanetly you goddam mother fucking dick sucking bitches! I licked your mothers cunt last@yourhouse. I came all on your stuff, fucking fags. I am 2 y/o.",1,1
73a0623db9857921,"Take the latter part of your advice, then shove the rest of the message right up your ass.",1,1
aaac9ffc6d386655,"RYULONG ADMIN NOMINATION 

Please see my note on the discussion page and look at RYULONG's behavior on this admin-noticeboard...
The guy is a liar, a cheat and a bully. I have provided all the proof required. You only have to see him contradicting himself on the page.

This guy is 100% NOT admin material... too young.. too block happy... falsifying quotes, providing fake sources... and a stalker and a bully.

Don't take my word... read for yourself!!

The WIKI histories don't lie!!

VOTE WITH YOUR CONSCIENCE!!

All of my claims of LYING, BULLYING and FALSIFYING SOURCES can be easily substantiated by looking in the HISTORY... so DOUBT nothing... the truth is a few clicks away!

YourCousin",1,0
5d5621f5fc330275,"""

Unfortunately, Citation bot isn't working at the moment. ''''''87 """,0,0
9c515622464bb57e,boobies boobies boobies !!!!!!,1,0
2727210228c0ad67,"""

um... ghetto speak stays in the ghetto. educated people pronounce the """"r"""".""",0,0
0e399f4a05f1e2af,"National team
Player scored in 2010 African Women's Championship qualification, so can't have made her debut in 2014.",0,0
a81b4be4c4e470e9,"""
If a group of Christians kill a Hindu, do you think it matters if Hindus are majority in the state? Don't think you are propagating the lie that only """"majority kills minority""""? No! Only """"local majority"""" kills """"local minority"""". If you want to somehow show that terrorism/separation movement is not religious in nature, then you might as well show me data about how some planets are changing my future, or that evolution is wrong.talk """,1,0
2fdceb57afa57696,"Sensor Order for Typhoon 

In a PR Opsens Inc. announced an order from BAE Systems for the supply of RadSens-type signal conditioners and OTG-R-type fiber optic temperature sensors. 
It follows recent approval of these products obtained from the [Defence Ordnance Safety Group] (DOSG), an organization of the UK [Ministry of Defence]. It did not specify what these are for, they could be engine monitoring of course.

Opsens says it is a leading developer, manufacturer and supplier of a wide range of fiber optic sensors and associated signal conditioners based on proprietary
patent and patent-pending technologies.

See:
http://www.opsens.com/PDF/OPSENS_Pressrelease_2007-10-17.pdf
http://www.newswire.ca/en/releases/archive/October2007/17/c4861.html
http://www.opsens.com/investors.html#anchor_5",0,0
3d0cfb81ea6d9d09,what is a sockpuppet? i've recently made an account as I am sick of carrying an IP address around- you should do the same.,0,0
de73f1b72e07c17e,"Steve's Biological Parents ==

I've checked the reference, which is http://money.cnn.com/2008/03/02/news/companies/elkind_jobs.fortune/index.htm, but couldn't find any proof.

==",0,0
a8d2491aed736577,"Sorry For The Misunderstanding  

Hi Firsfron. Sorry for the late reply the holiday has slowed me down. Thank You for the links I find them very interesting. I apologize if it seemed that I was favoring T-Rex in any way. I purposely put possibly the largest because I understand fully that T-Rex may not be the largest, and in the T.Rex article I changed it to possibly larger due to the skull that was reconstructed and turned out to be larger than Sue's skull. My only concern is the comparision between Giganotosaurus and Tyrannosaurus. Since there hasn't been a Gigano skeleton actually taller than the most recent T-Rex skeletons we've found. Longer yes indeed I have no issue with that at all, but length doesn't mean that the animal will be taller. Also T-Rex is more heavily built than Gigano. What do you think?   mcelite",0,0
855062037731901e,I am very tempted to show you a picture of my four headed penis...,1,1
bde4111237207f91,"""

 A pleasant surprise 

If you haven't checked the Paris Metro Infoboxes lately, then I think you are in for a pleasant surprise. See User_talk:Edokter#Infobox_Paris_metro_question too. Yours,   ><>°° """,0,0
e12e94b72afc15bb,You're a fucking boot as well.,1,1
e988d8da8e8efd3b,"Linux 

But did he run Linux?",0,0
0175072945c834e2,"Adrienne Shelly 

This is directed at you: http://en.wikipedia.org/w/index.php?title=Adrienne_Shelly&diff;=296721755&oldid;=295519387 Don't be so goddamn lazy. 99.164.68.102",1,1
ccce3745459e8b5f,"""

Big Pro-Choice dyke

Hey bitch, if you're such a cunt ass lesbian why do you care if other women can have abortions?  Do you think those murdering sluts will have sex with you because of the sympathy?  """"Oh sisterhood, eat my cunt!""""  Get a fucking life, nobody like a pro-choice dyke.""",1,1
37d224ceb13e0cb3,"Sean Hannity Revert 

Let's see you don't know what something means, so you just revert it?  Is that the wikipeida standard?  I'm ignorant, so I'll just revert it?",0,0
fbb0190a29d3f530,"Jon513 

ur the biggest douchebag u dont even kno fuck u bitch",1,1
087b5fb633192a07,"""

More on math markup
I saw your table at Flue gas emissions and it looks nice.  That led to your discussion of Wiki's less than perfect math markup.  You pointed out that your PNG generated at Wikicities was more compact: 

than the example you provided with Wiki markup:

So I played around and came up with this example: 

Which may not be perfect, but it is alot closer to your first one.  Cheers.   

I believe placing a message on a userpage is the only way to create the message notice.  Many users do put responses directly under the message for continuity, but they would still need to place a notice on the other userpage to get a quick response.  

The smaller font is achieved with the  \begin{matrix} \end{matrix} tags .  (Note braces not parens - they are hard to distinguish on my monitor). This is noted in Help:Formula#Fractions, matrices, multilines section under """"Small Fractions"""", where it adds that the tag forces """"\textstyle"""".  I am no expert, so I can't provide further guidance.

Concerning the power plant article, you could provide a more prominant link to your article (I will demonstrate), but I think the main article should remain an overview with links to subsidiary articles.   """,0,0
c50f3a40b92adc5d,"""
 And clearly if scholarship uses """"cross burning"""" this discussion should now end.  Why do we waste time with one POV-warrior?  If a half-dozen historians discussed this name with us, I'd sit up and take notice.  What a discussion.""",0,0
9f6ce850b530195f,"Is that so? Than why so many people questiong your incredibly arrogant, and entirely inappropriate edit actions? Maybe you're such an arrogant person, you think YOU are the only member of the community that matters?",1,0
376446aac16c63cd,"""

 Biography 

""""His portrayal (or caricature) of Asian characters though, hereand elsewhere, has caused some controversy in recent years.""""

Where's here? Why?""",0,0
d585e5182330c257,"That is, you are endorsing the current version. Nice.",0,0
eff9a974b740ebbe,"MARC MYSTERIO 

HI,

THIS KWW EDITOR APPEARS TO BE ATTACKING MARC MYSTERIO, HIS ARTICLES, AND SONGS FOR NO REASON...

THE CHARTS NOTED ARE NOTABLE AND INCLUDED ACROSS WIKI...

THE LET LOOSE SONG ARTICLE WAS JUST DELETED, AND WITHOUT JUST CAUSE...

IT LEGITAMATELY CHARTED IN UKRAINE... HOWEVER, THESE BOZOS THAT KNOW NOTHING OF MUSIC BUSINESS WANT TO STIR SHIT...

FDR CHART, THAT IT... THE ONLY CHART IN UKRAINE..

NOW, THEY WISH TO ATTACK HIS OTHER SONG, ROLL WIT IT...

THAT SONG CHARTED ON THE CANADIAN CLUB AND DANCE NATIONAL CHART, WHICH IS COMPILED BY ZIP DJ...

I DONT HAVE TIME OR CARE AT THIS POINT... ILL LEAVE IT WITH YOU...

IM IN THE MUSIC BIZ FOR 20 YEARS, AND NEVER DEAL WITH SUCH A BULLSHIT SITE AS THIS ONE THAT PEOPLE LEND CREDIBILITY TO THAT DELETE A JUSTFULLY NOTABLE SONG AS LET LOOSE...",1,0
60f227ddd3674182,Your cause is nonsense.  You are a Mossad terrorist.,1,0
297717b8d293ff77,"""
I looked at this very briefly, inviting users that are in conflict to use the talkpage is a good move.  I saw your post on the talkpage as well.  I will be offline in about 1/2 hour until Monday (I desperately need a break anyway), so I won't be able to watch this either.  But that's okay right?  Remember today's mantra?  Yesterday's newspaper, yesterday's newspaper, yesterday's newspaper...  Thanks dusti, see you next week.    |  76  |   """,0,0
c968308e5acc14af,"rude 

so you are gay then!!!!!!!!",1,0
1044166b24e08ccb,"""

 AI@50 

Thanks for the message on my Talk page.  No harm done, as I was offline of WP briefly at the time myself  and I learned a lot in the process of restoring and improving the article to WP Notability standards, a lesson I've applied elsewhere.  I also learned more about the WP distinction between Primary and Secondary sources.  The result is all to the good. I'll take your word that the oldprodfull  template is a good thing, though I think on first sight that the template's terse wording  """"This article was proposed for deletion by an editor in the past""""   could be clearer as to its intent: does this really suffice to, in your words, """"let future editors know that the article has already been through the proposed deletion process once and is no longer eligible for deletion without a proper discussion or other reason""""?  I hope so, though it was not obvious to me: it reads more like an invitation to agree or disagree to deletion and so reprise the issue.  If you can see it that way, as a relatively novice editor might, perhaps the oldprodfull template could be expanded to that effect, with some procedural directives and relevant links, to the original PROD and the policy guidelines for continuance.  I defer to your experience and good judgment. 

BTW, since you liked Kurzweil's other book, The Singularity is Near is certainly worth a skim  Moore's Law on steroids  a fascinating perspective, from AI's greatest optimist. 

Thanks again, Atama, and welcome back!
    """,0,0
162b0b949304ffdd,"Here's a question
Why is this page so blindly pro wikipedia. OH RIGHT. Hypocritical self righteousness ftw",1,0
eed03de7fc9f0d32,"Look just talk to me then we might actually get somewhere, or are you so up yourself that you can't do that",0,0
